,SYSCALL_0,SYSCALL_1,SYSCALL_2,SYSCALL_3,SYSCALL_4,SYSCALL_5,SYSCALL_6,SYSCALL_7,SYSCALL_9
MAX,0.0000217916666666667,0.0000363333333333333,0.0000170416666666667,0.00000291666666666667,0.0000178333333333333,0.0000193333333333333,0.00000941666666666667,0.000006625,0.00000295833333333333
AVG,0.0000209814014761415,0.0000313510853608385,0.000014181614138085,0.00000205007583611717,0.0000176415708025199,0.0000180146944329611,0.00000924203957507707,0.00000636639375966993,0.00000230940392598799
MIN,0.000004875,0.000003375,0.0000140833333333333,0.000002,0.0000174583333333333,0.0000170833333333333,0.00000920833333333333,0.00000620833333333333,0.00000166666666666667
AVG_CONF_MAX,0.000020983057035731,0.0000314031806942247,0.0000141825465382991,0.00000205081128252164,0.0000176492402343663,0.0000180155543425852,0.00000924223605288279,0.00000636951654388504,0.00000231584019394931
AVG_CONF_MIN,0.000020979745916552,0.0000312989900274524,0.000014180681737871,0.0000020493403897127,0.0000176339013706734,0.0000180138345233369,0.00000924184309727135,0.00000636327097545483,0.00000230296765802668
SAMPLE_RATE,24000000,,,,,,,,
