,type1,type2,type3,type4
MAX,3.3333333333333335e-07,9.8e-05,0.00029233333333333336,0.00041066666666666666
AVG,3.3333333333333335e-07,6.421428571428572e-05,0.00029199999999999994,0.0004033
MIN,3.3333333333333335e-07,5.966666666666667e-05,0.0002916666666666667,0.0004023333333333333
AVG_CONF_MAX,3.3333333333333335e-07,6.857233129881928e-05,0.0002921056377389046,0.00040491052519614176
AVG_CONF_MIN,3.3333333333333335e-07,5.985624012975216e-05,0.00029189436226109526,0.0004016894748038582
COUNT,4,28,18,10
SAMPLE_RATE,3000000
