,SYSCALL_0,SYSCALL_1,SYSCALL_2,SYSCALL_3,SYSCALL_4,SYSCALL_5,SYSCALL_6,SYSCALL_7,SYSCALL_9
MAX,0.000027875,0.0000338333333333333,0.0000190833333333333,0.00000204166666666667,0.0000210416666666667,0.0000209583333333333,0.00000970833333333333,0.00000429166666666667,0.00000195833333333333
AVG,0.0000273958333333333,0.0000238919763326698,0.0000168308080808081,0.00000156367095082806,0.0000209621212121212,0.0000202405303030303,0.00000965435606060606,0.00000389646464646464,0.00000131035381210246
MIN,0.0000265,0.000001875,0.000015625,0.00000154166666666667,0.0000208333333333333,0.0000195,0.000009625,0.0000035,0.00000095833333333333
AVG_CONF_MAX,0.0000275456662725478,0.0000240618247207117,0.0000171928253986567,0.00000156487796950176,0.0000209742852099397,0.0000204478046842415,0.00000966116684617626,0.00000391761768461873,0.00000131715298925597
AVG_CONF_MIN,0.0000272460003941188,0.0000237221279446279,0.0000164687907629595,0.00000156246393215436,0.0000209499572143028,0.0000200332559218191,0.00000964754527503586,0.00000387531160831055,0.00000130355463494894
SAMPLE_RATE,24000000,,,,,,,,
