,type1,type2,type3,type4
MAX,3.3333333333333335e-07,9.7e-05,0.0003153333333333333,0.00042633333333333336
AVG,3.3333333333333335e-07,6.231073446327682e-05,0.00028632520325203253,0.00039748333333333334
MIN,3.3333333333333335e-07,6.0666666666666666e-05,0.00028533333333333335,0.00039566666666666667
AVG_CONF_MAX,3.3333333333333335e-07,6.397291816934289e-05,0.0002877622989546323,0.0004004627938559528
AVG_CONF_MIN,3.3333333333333335e-07,6.064855075721076e-05,0.00028488810754943275,0.0003945038728107139
COUNT,3,59,41,20
SAMPLE_RATE,3000000
